epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,338.407,1.65381,2.66949,1.95012,0.07286,0.13861,0.05911,0.01739,2.53284,3.64058,3.45441,0.0692924,0.00259782,0.00259782
2,666.326,1.58905,2.40733,1.88402,0.53234,0.29396,0.28926,0.16228,1.89553,4.19325,2.35523,0.0383875,0.0050263,0.0050263
3,991.407,1.48632,2.19733,1.79774,0.43358,0.43285,0.42334,0.25671,1.599,2.39269,2.08644,0.00731106,0.00728317,0.00728317
4,1315.78,1.40094,2.01253,1.71592,0.46932,0.51262,0.48409,0.28164,1.57256,1.93125,2.00064,0.0070278,0.0070278,0.0070278
5,1639.87,1.34063,1.9143,1.6764,0.53716,0.52124,0.54814,0.35025,1.45967,1.74764,1.91263,0.0067704,0.0067704,0.0067704
6,1983.62,1.2868,1.81251,1.62442,0.6109,0.5826,0.6192,0.38799,1.34187,1.56144,1.75892,0.006513,0.006513,0.006513
7,2332.92,1.26266,1.73872,1.60758,0.62181,0.58081,0.62228,0.38694,1.37785,1.54972,1.79328,0.0062556,0.0062556,0.0062556
8,2684.38,1.22372,1.65207,1.56806,0.59311,0.62488,0.63213,0.40499,1.27666,1.55233,1.70498,0.0059982,0.0059982,0.0059982
9,3035.57,1.2066,1.6372,1.55243,0.62648,0.63077,0.64791,0.42629,1.25971,1.41254,1.67208,0.0057408,0.0057408,0.0057408
10,3379.22,1.16342,1.54875,1.52134,0.55604,0.59907,0.63177,0.42561,1.24303,1.52724,1.67491,0.0054834,0.0054834,0.0054834
11,3728.76,1.15456,1.51089,1.51469,0.6619,0.67004,0.71308,0.46772,1.24686,1.31442,1.64165,0.005226,0.005226,0.005226
12,4076.66,1.14435,1.48062,1.50225,0.68241,0.66806,0.71378,0.4787,1.16435,1.26721,1.56145,0.0049686,0.0049686,0.0049686
13,4425.09,1.13176,1.45541,1.48226,0.74052,0.70767,0.74956,0.51061,1.15613,1.18394,1.5354,0.0047112,0.0047112,0.0047112
14,4774.36,1.10123,1.4014,1.46046,0.68008,0.69313,0.72944,0.49903,1.13319,1.22137,1.53693,0.0044538,0.0044538,0.0044538
15,5123.33,1.08522,1.36578,1.4507,0.73452,0.71211,0.7563,0.53297,1.08773,1.13171,1.47924,0.0041964,0.0041964,0.0041964
16,5468.82,1.0729,1.33943,1.43847,0.71106,0.73203,0.75096,0.53034,1.07013,1.14477,1.45639,0.003939,0.003939,0.003939
17,5801.51,1.05989,1.31597,1.42946,0.71322,0.7271,0.76368,0.53116,1.09872,1.1177,1.49446,0.0036816,0.0036816,0.0036816
18,6126.46,1.04135,1.27594,1.41373,0.70367,0.75039,0.78341,0.56257,1.02456,1.05394,1.42534,0.0034242,0.0034242,0.0034242
19,6450.63,1.04404,1.27637,1.41002,0.75039,0.71969,0.77283,0.55031,1.05365,1.04179,1.45058,0.0031668,0.0031668,0.0031668
20,6775.65,1.01528,1.21056,1.39244,0.7506,0.759,0.80396,0.57204,1.02809,0.99186,1.41627,0.0029094,0.0029094,0.0029094
21,7135.8,1.018,1.0412,1.4511,0.76772,0.74845,0.80179,0.57837,1.01723,0.98375,1.40693,0.002652,0.002652,0.002652
22,7458.59,0.97844,0.99619,1.41374,0.7491,0.77315,0.80389,0.58718,0.99097,0.94943,1.37415,0.0023946,0.0023946,0.0023946
23,7782.07,0.96216,0.95749,1.39991,0.80325,0.75397,0.81746,0.60312,0.96507,0.90486,1.34286,0.0021372,0.0021372,0.0021372
24,8105.34,0.93099,0.92271,1.37906,0.77839,0.78294,0.83127,0.60923,0.97694,0.89738,1.35499,0.0018798,0.0018798,0.0018798
25,8429.12,0.92553,0.88816,1.36544,0.78226,0.78727,0.82743,0.6112,0.95453,0.88056,1.33133,0.0016224,0.0016224,0.0016224
26,8753.18,0.89628,0.8609,1.34672,0.80825,0.80306,0.84584,0.62663,0.94213,0.8265,1.32961,0.001365,0.001365,0.001365
27,9076.59,0.88731,0.82881,1.32827,0.81045,0.80315,0.8531,0.63741,0.91299,0.80988,1.30092,0.0011076,0.0011076,0.0011076
28,9399.72,0.86838,0.81084,1.31795,0.84232,0.78968,0.85605,0.64375,0.89992,0.79682,1.28768,0.0008502,0.0008502,0.0008502
29,9723.09,0.85262,0.78298,1.30499,0.81903,0.79355,0.85304,0.64291,0.90203,0.79383,1.28257,0.0005928,0.0005928,0.0005928
30,10046.2,0.83854,0.76155,1.29331,0.81131,0.80615,0.85826,0.64866,0.89371,0.78301,1.27882,0.0003354,0.0003354,0.0003354
