epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,13831.6,0.82953,0.82535,1.23495,0.88978,0.82263,0.89789,0.6829,0.87384,0.70923,1.28032,0.000714485,0.000714485,0.000714485
43,14264.9,0.83212,0.84116,1.23383,0.87968,0.84719,0.90419,0.68719,0.86316,0.67915,1.26603,0.000697821,0.000697821,0.000697821
44,14688.2,0.83623,0.83267,1.23502,0.86569,0.85847,0.91083,0.69096,0.873,0.68571,1.27615,0.000681022,0.000681022,0.000681022
45,15105.9,0.82565,0.80628,1.23138,0.89869,0.84868,0.9118,0.69587,0.85544,0.66245,1.26566,0.000664104,0.000664104,0.000664104
46,15514.7,0.81691,0.79911,1.22669,0.89479,0.85368,0.91042,0.6978,0.84941,0.65861,1.26777,0.000647085,0.000647085,0.000647085
47,15945.8,0.81196,0.78897,1.21827,0.89613,0.85055,0.91761,0.69502,0.86348,0.6422,1.25902,0.000629981,0.000629981,0.000629981
48,16373.4,0.79391,0.78228,1.20926,0.89873,0.8488,0.91772,0.70643,0.84737,0.6344,1.24819,0.000612809,0.000612809,0.000612809
49,16782.2,0.79984,0.75937,1.20806,0.8979,0.8522,0.9146,0.70518,0.83635,0.64351,1.23705,0.000595586,0.000595586,0.000595586
50,17194.3,0.80252,0.7807,1.2139,0.88331,0.86574,0.91992,0.713,0.83342,0.63293,1.23487,0.000578329,0.000578329,0.000578329
51,17608.9,0.79514,0.76954,1.2091,0.89874,0.86062,0.92019,0.71264,0.83057,0.61996,1.23411,0.000561055,0.000561055,0.000561055
52,18040.8,0.77374,0.75265,1.19741,0.88033,0.87101,0.92224,0.71259,0.83678,0.63601,1.23971,0.000543781,0.000543781,0.000543781
53,18504.6,0.77469,0.74438,1.20014,0.89974,0.87765,0.9259,0.72081,0.83585,0.59226,1.23642,0.000526524,0.000526524,0.000526524
54,19002.9,0.77969,0.74276,1.19981,0.90197,0.86562,0.92549,0.72012,0.81597,0.60692,1.22064,0.000509301,0.000509301,0.000509301
55,19525.5,0.76781,0.71897,1.19407,0.90236,0.87356,0.92623,0.72277,0.81188,0.59516,1.22301,0.000492129,0.000492129,0.000492129
56,20023,0.76435,0.73231,1.18699,0.90578,0.87148,0.92848,0.72102,0.82232,0.59192,1.22045,0.000475025,0.000475025,0.000475025
57,20510.9,0.76501,0.71589,1.18916,0.90791,0.86881,0.92968,0.7262,0.81581,0.58164,1.23012,0.000458006,0.000458006,0.000458006
58,21004,0.76427,0.7142,1.18781,0.9065,0.86924,0.93273,0.72985,0.80776,0.56635,1.21898,0.000441088,0.000441088,0.000441088
59,21500.9,0.75696,0.70584,1.1809,0.90188,0.87537,0.93256,0.72398,0.80767,0.57949,1.21793,0.000424289,0.000424289,0.000424289
60,22024.5,0.74748,0.67941,1.17682,0.90561,0.87317,0.93179,0.73121,0.79697,0.5774,1.2119,0.000407625,0.000407625,0.000407625
61,22566.7,0.74636,0.68324,1.17455,0.90568,0.88186,0.93457,0.73421,0.79894,0.56592,1.20925,0.000391113,0.000391113,0.000391113
62,23075.2,0.7427,0.68594,1.17444,0.91987,0.864,0.93231,0.7344,0.79059,0.55573,1.21275,0.000374768,0.000374768,0.000374768
63,23572.5,0.74047,0.68073,1.17543,0.91337,0.86831,0.93036,0.73252,0.79859,0.55934,1.20517,0.000358607,0.000358607,0.000358607
64,24054.6,0.74509,0.68108,1.17863,0.91891,0.86851,0.92897,0.73137,0.79227,0.56281,1.20427,0.000342646,0.000342646,0.000342646
65,24526.6,0.72744,0.66888,1.16371,0.91922,0.88218,0.93804,0.74415,0.78642,0.55393,1.19987,0.0003269,0.0003269,0.0003269
66,25017.1,0.72122,0.65939,1.15732,0.91496,0.8797,0.93417,0.73856,0.78389,0.55369,1.19733,0.000311385,0.000311385,0.000311385
67,25488.1,0.72761,0.66806,1.1658,0.89258,0.89053,0.93359,0.74063,0.78526,0.55003,1.19688,0.000296117,0.000296117,0.000296117
68,25955.1,0.71713,0.65015,1.15824,0.91755,0.87981,0.93602,0.74305,0.77274,0.54111,1.18649,0.00028111,0.00028111,0.00028111
69,26381,0.71857,0.64954,1.15988,0.92039,0.88423,0.93745,0.7466,0.76733,0.54075,1.1773,0.00026638,0.00026638,0.00026638
70,26747.8,0.71683,0.64683,1.15522,0.91776,0.88193,0.93943,0.74317,0.77614,0.54149,1.18688,0.00025194,0.00025194,0.00025194
71,27163.2,0.718,0.63973,1.15523,0.91508,0.8852,0.93771,0.74575,0.7716,0.53595,1.18397,0.000237805,0.000237805,0.000237805
72,27592.4,0.71168,0.63283,1.14966,0.91101,0.89044,0.93858,0.74894,0.76234,0.52623,1.17328,0.00022399,0.00022399,0.00022399
73,27992.7,0.7183,0.63841,1.15292,0.91991,0.8754,0.93812,0.74478,0.76975,0.53217,1.1812,0.000210507,0.000210507,0.000210507
74,28354.6,0.69508,0.62005,1.13873,0.92425,0.8793,0.93828,0.75028,0.77216,0.52517,1.18937,0.00019737,0.00019737,0.00019737
75,28783.7,0.69967,0.62149,1.14151,0.90617,0.89372,0.9403,0.74953,0.76698,0.52622,1.17904,0.000184592,0.000184592,0.000184592
76,29219.2,0.69775,0.61385,1.14451,0.92406,0.88798,0.94229,0.75095,0.76472,0.52101,1.1789,0.000172185,0.000172185,0.000172185
77,29678,0.68402,0.60397,1.13482,0.92479,0.88589,0.93955,0.75356,0.75922,0.52257,1.17484,0.000160162,0.000160162,0.000160162
78,30112.1,0.68589,0.59839,1.13833,0.92291,0.88591,0.93715,0.75027,0.75643,0.52824,1.17314,0.000148535,0.000148535,0.000148535
79,30554.2,0.68269,0.59774,1.1358,0.9347,0.88037,0.9381,0.75361,0.7471,0.51528,1.15954,0.000137315,0.000137315,0.000137315
80,30993.4,0.68192,0.5926,1.13568,0.92554,0.89066,0.94171,0.75629,0.7433,0.51143,1.15897,0.000126513,0.000126513,0.000126513
81,31431.7,0.67898,0.5867,1.1319,0.92401,0.89327,0.94091,0.75569,0.75075,0.50623,1.16604,0.00011614,0.00011614,0.00011614
82,50553.8,0.67501,0.58137,1.13039,0.93014,0.89057,0.94187,0.75629,0.75209,0.50555,1.1685,0.000106206,0.000106206,0.000106206
