epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,383.62,1.12258,2.6632,1.46489,0.55321,0.53214,0.58468,0.38235,1.22304,2.17598,1.6169,0.0695821,0.00288758,0.00288758
2,727.448,1.14783,1.80585,1.46711,0.62358,0.57925,0.61302,0.38356,1.30359,1.83977,1.6941,0.0389481,0.00558692,0.00558692
3,1056.72,1.21137,1.76615,1.52393,0.63354,0.55664,0.59271,0.37625,1.36865,1.84329,1.78512,0.00812342,0.00809552,0.00809552
4,1384.18,1.24526,1.7644,1.55932,0.61451,0.56065,0.59385,0.36476,1.4205,1.74306,1.80988,0.00781167,0.00781167,0.00781167
5,1711.99,1.19493,1.65469,1.52475,0.66224,0.65702,0.69975,0.46432,1.20472,1.4421,1.58531,0.00752556,0.00752556,0.00752556
6,2043.06,1.14577,1.5286,1.47824,0.66208,0.65367,0.68379,0.43786,1.18625,1.42655,1.56534,0.00723945,0.00723945,0.00723945
7,2381.71,1.11595,1.44471,1.45303,0.72999,0.69357,0.75978,0.51297,1.11462,1.24711,1.49955,0.00695334,0.00695334,0.00695334
8,2730.37,1.08491,1.35358,1.42333,0.7417,0.68689,0.75668,0.51833,1.10228,1.2009,1.48037,0.00666723,0.00666723,0.00666723
9,3080.79,1.06644,1.3158,1.40889,0.75108,0.7523,0.79241,0.55755,1.05597,1.08285,1.44908,0.00638112,0.00638112,0.00638112
10,3427.63,1.02328,1.23566,1.38106,0.70177,0.75519,0.79187,0.5602,1.0442,1.07709,1.427,0.00609501,0.00609501,0.00609501
11,3761.11,1.01352,1.19806,1.37348,0.77684,0.7614,0.81375,0.58528,1.01175,0.98637,1.41187,0.0058089,0.0058089,0.0058089
12,4102.51,0.99406,1.16324,1.35729,0.77838,0.78928,0.82572,0.5887,1.00929,0.96778,1.38534,0.00552279,0.00552279,0.00552279
13,4442.61,0.98642,1.13608,1.34346,0.79295,0.77091,0.83038,0.60426,0.97658,0.92299,1.3522,0.00523668,0.00523668,0.00523668
14,4768.34,0.96502,1.09499,1.32894,0.77264,0.77191,0.82761,0.60343,0.95168,0.91359,1.33976,0.00495057,0.00495057,0.00495057
15,5116.6,0.94212,1.05492,1.31707,0.7811,0.78659,0.84187,0.61998,0.93712,0.91648,1.32045,0.00466446,0.00466446,0.00466446
16,5457.83,0.92834,1.02756,1.30397,0.75831,0.80645,0.84854,0.63634,0.90662,0.85757,1.28068,0.00437835,0.00437835,0.00437835
17,5801.49,0.91063,1.00265,1.29517,0.77976,0.80513,0.86164,0.63804,0.91472,0.83908,1.29153,0.00409224,0.00409224,0.00409224
18,6138.99,0.89852,0.96904,1.28263,0.77178,0.81281,0.85222,0.64341,0.89311,0.80932,1.28089,0.00380613,0.00380613,0.00380613
19,6475.91,0.89013,0.96155,1.27483,0.81377,0.80278,0.86813,0.65059,0.88853,0.81083,1.2747,0.00352002,0.00352002,0.00352002
20,6810.85,0.86881,0.91518,1.26008,0.81454,0.84428,0.88319,0.66554,0.87023,0.76495,1.24942,0.00323391,0.00323391,0.00323391
21,7204.69,0.84478,0.77008,1.28067,0.83838,0.84245,0.88566,0.66578,0.86806,0.73219,1.24816,0.0029478,0.0029478,0.0029478
22,7540.13,0.82315,0.72575,1.25932,0.80014,0.82381,0.85975,0.66015,0.84715,0.75602,1.22808,0.00266169,0.00266169,0.00266169
23,7869.39,0.79546,0.69205,1.24284,0.83529,0.83788,0.87868,0.67361,0.83255,0.71718,1.20528,0.00237558,0.00237558,0.00237558
24,8277.87,0.77404,0.66626,1.22678,0.84856,0.84943,0.89727,0.68853,0.83362,0.67872,1.21209,0.00208947,0.00208947,0.00208947
25,8686.26,0.75931,0.62966,1.20775,0.84987,0.86744,0.90578,0.69798,0.82063,0.65632,1.19094,0.00180336,0.00180336,0.00180336
26,9101.12,0.74672,0.61167,1.20143,0.86119,0.8615,0.90265,0.69879,0.81193,0.65634,1.19288,0.00151725,0.00151725,0.00151725
27,9456.44,0.72987,0.59323,1.18197,0.86929,0.85343,0.90539,0.70826,0.79827,0.63103,1.18352,0.00123114,0.00123114,0.00123114
28,9785.64,0.71714,0.57186,1.17316,0.86914,0.84636,0.90294,0.70579,0.79073,0.63188,1.17309,0.00094503,0.00094503,0.00094503
29,10115,0.69336,0.54887,1.15746,0.87998,0.86084,0.91216,0.72155,0.7708,0.60419,1.15675,0.00065892,0.00065892,0.00065892
30,10443.8,0.68188,0.53208,1.14972,0.88073,0.85515,0.91316,0.71981,0.76922,0.59654,1.15325,0.00037281,0.00037281,0.00037281
