epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3302.75,1.04753,1.1094,1.34695,0.70939,0.6539,0.70261,0.49223,1.11883,1.0855,1.494,0.000714485,0.000714485,0.000714485
43,3376.26,1.00034,1.05848,1.3199,0.70385,0.67361,0.72395,0.50015,1.15923,1.05601,1.53736,0.000697821,0.000697821,0.000697821
44,3450.97,1.01608,1.05104,1.32607,0.70192,0.70055,0.7251,0.51257,1.07452,0.9777,1.46394,0.000681022,0.000681022,0.000681022
45,3534.11,1.03052,1.07006,1.33015,0.71675,0.67277,0.71643,0.49013,1.13212,1.03115,1.51344,0.000664104,0.000664104,0.000664104
46,3616.12,1.02496,1.08734,1.33153,0.72682,0.6315,0.69117,0.48527,1.10594,1.07436,1.51205,0.000647085,0.000647085,0.000647085
47,3693.69,1.00819,1.07221,1.32522,0.7456,0.6369,0.71592,0.48758,1.13322,1.04634,1.51228,0.000629981,0.000629981,0.000629981
48,3766.73,1.00134,1.05364,1.31546,0.70716,0.64551,0.71275,0.49386,1.09779,1.01868,1.48195,0.000612809,0.000612809,0.000612809
49,3833.58,1.00004,1.02494,1.31372,0.70575,0.66538,0.71904,0.50252,1.09973,1.00348,1.46565,0.000595586,0.000595586,0.000595586
50,3897.64,0.98854,1.01474,1.31241,0.69519,0.69956,0.74599,0.51491,1.12392,0.97386,1.50612,0.000578329,0.000578329,0.000578329
51,3961.07,0.98517,1.00729,1.3029,0.72235,0.6817,0.74087,0.50689,1.10666,0.96757,1.48423,0.000561055,0.000561055,0.000561055
52,4024.86,0.98241,0.99921,1.29819,0.70865,0.70513,0.74757,0.52662,1.04853,0.97564,1.43193,0.000543781,0.000543781,0.000543781
53,4087.68,0.95847,0.96184,1.28438,0.76697,0.66189,0.7382,0.51492,1.03065,0.96541,1.42601,0.000526524,0.000526524,0.000526524
54,4150.13,0.95745,0.96433,1.29351,0.79103,0.69182,0.7505,0.53446,1.0558,0.90415,1.4516,0.000509301,0.000509301,0.000509301
55,4213.66,0.95164,0.94251,1.28015,0.77223,0.69211,0.75515,0.51692,1.07315,0.96419,1.43305,0.000492129,0.000492129,0.000492129
56,4276.23,0.9405,0.93085,1.27507,0.75591,0.71739,0.76828,0.5346,1.06796,0.93573,1.43797,0.000475025,0.000475025,0.000475025
57,4340.31,0.93774,0.90933,1.26664,0.75822,0.70326,0.76016,0.53465,1.04792,0.92673,1.42842,0.000458006,0.000458006,0.000458006
58,4403.71,0.94874,0.90211,1.27559,0.76127,0.69838,0.76365,0.53149,1.05659,0.90656,1.44196,0.000441088,0.000441088,0.000441088
59,4466.14,0.92409,0.89031,1.26014,0.77205,0.70728,0.76865,0.54292,1.03798,0.91591,1.4272,0.000424289,0.000424289,0.000424289
60,4528.82,0.91484,0.88134,1.24035,0.72335,0.73342,0.76822,0.52763,1.06773,0.89891,1.45317,0.000407625,0.000407625,0.000407625
61,4591.33,0.94813,0.90723,1.2718,0.75397,0.71379,0.76897,0.53863,1.03165,0.88455,1.41568,0.000391113,0.000391113,0.000391113
62,4654.57,0.93344,0.8867,1.26322,0.83259,0.68815,0.75771,0.52824,1.05961,0.88236,1.44726,0.000374768,0.000374768,0.000374768
63,4717.09,0.91112,0.85844,1.25062,0.82625,0.70997,0.76736,0.54115,1.04022,0.86631,1.4279,0.000358607,0.000358607,0.000358607
64,4779.65,0.86687,0.83387,1.21514,0.76466,0.71501,0.7543,0.52775,1.07764,0.8956,1.4626,0.000342646,0.000342646,0.000342646
65,4842.21,0.86999,0.82115,1.23344,0.78104,0.72163,0.77448,0.54548,1.01802,0.87972,1.40597,0.0003269,0.0003269,0.0003269
66,4905.31,0.91047,0.87006,1.23419,0.79304,0.69772,0.76878,0.54389,1.02863,0.8603,1.44413,0.000311385,0.000311385,0.000311385
67,4968.5,0.89681,0.84218,1.24282,0.77718,0.7149,0.78029,0.54987,1.05006,0.87124,1.43912,0.000296117,0.000296117,0.000296117
68,5031.7,0.89612,0.82455,1.23596,0.80153,0.70416,0.76303,0.54542,1.04547,0.83682,1.442,0.00028111,0.00028111,0.00028111
69,5094.06,0.87819,0.80702,1.21952,0.78184,0.74191,0.77969,0.54831,1.0289,0.82139,1.42066,0.00026638,0.00026638,0.00026638
70,5157.02,0.86622,0.79078,1.21216,0.78409,0.73658,0.77496,0.54786,1.06143,0.82417,1.44683,0.00025194,0.00025194,0.00025194
71,5220.49,0.88537,0.80438,1.22249,0.81972,0.71926,0.77626,0.54908,1.04789,0.83153,1.43209,0.000237805,0.000237805,0.000237805
72,5284.53,0.84803,0.77183,1.20432,0.84529,0.70006,0.76569,0.54194,1.05346,0.81025,1.45065,0.00022399,0.00022399,0.00022399
73,5348.94,0.85642,0.76334,1.22015,0.78408,0.72145,0.7653,0.54435,1.03707,0.81742,1.43899,0.000210507,0.000210507,0.000210507
74,5412.99,0.85011,0.76774,1.20158,0.79825,0.71723,0.76659,0.54391,1.05205,0.83392,1.45149,0.00019737,0.00019737,0.00019737
75,5475.69,0.84881,0.756,1.19385,0.7852,0.72022,0.77314,0.5546,1.00742,0.82407,1.40204,0.000184592,0.000184592,0.000184592
76,5538.33,0.85476,0.76372,1.21677,0.77816,0.73168,0.76993,0.55393,1.01236,0.8258,1.41162,0.000172185,0.000172185,0.000172185
77,5601,0.8238,0.74198,1.18891,0.81986,0.71351,0.77242,0.55308,1.03618,0.82971,1.4218,0.000160162,0.000160162,0.000160162
78,5663.34,0.81527,0.7357,1.18338,0.81128,0.73176,0.7796,0.55877,1.02946,0.80565,1.43004,0.000148535,0.000148535,0.000148535
79,5725.61,0.81337,0.73495,1.18103,0.7745,0.73169,0.7747,0.55114,1.02585,0.82751,1.4159,0.000137315,0.000137315,0.000137315
80,5787.84,0.82285,0.74954,1.18994,0.81653,0.72603,0.77838,0.5555,1.01678,0.80315,1.41712,0.000126513,0.000126513,0.000126513
81,5850.66,0.80673,0.72633,1.18459,0.80214,0.75097,0.78932,0.55539,1.01385,0.80855,1.40867,0.00011614,0.00011614,0.00011614
82,5913.44,0.81359,0.71774,1.18151,0.7873,0.73711,0.77509,0.55126,1.01735,0.80684,1.41291,0.000106206,0.000106206,0.000106206
83,5975.81,0.79836,0.71486,1.16959,0.78721,0.73117,0.77214,0.54838,1.02179,0.81715,1.42441,9.67211e-05,9.67211e-05,9.67211e-05
84,6038.08,0.81289,0.7224,1.17715,0.78329,0.7395,0.78397,0.55227,1.02007,0.80683,1.41621,8.76942e-05,8.76942e-05,8.76942e-05
85,6100.52,0.79185,0.68775,1.17014,0.80396,0.72544,0.78158,0.55117,1.02533,0.80921,1.41999,7.91345e-05,7.91345e-05,7.91345e-05
86,6163.61,0.79772,0.69578,1.16955,0.80126,0.73842,0.7796,0.5524,1.02717,0.80452,1.42037,7.10504e-05,7.10504e-05,7.10504e-05
87,6226.82,0.79113,0.70882,1.17389,0.80802,0.72419,0.77995,0.55468,1.02781,0.79689,1.42274,6.34499e-05,6.34499e-05,6.34499e-05
88,6289.25,0.80286,0.70428,1.17063,0.78242,0.73965,0.7768,0.55188,1.02111,0.80385,1.42,5.63404e-05,5.63404e-05,5.63404e-05
89,6351.76,0.80315,0.6949,1.17778,0.81184,0.72022,0.77706,0.5539,1.015,0.80046,1.41225,4.97291e-05,4.97291e-05,4.97291e-05
90,6413.99,0.80362,0.70951,1.15696,0.81356,0.7268,0.77699,0.55308,1.02074,0.79842,1.41693,4.36223e-05,4.36223e-05,4.36223e-05
91,6476.07,0.78421,0.64871,1.19881,0.76125,0.72276,0.75501,0.53614,1.03024,0.85015,1.44965,3.80262e-05,3.80262e-05,3.80262e-05
92,6537.29,0.75179,0.5958,1.17858,0.80521,0.70842,0.76872,0.54465,1.01375,0.82783,1.43435,3.29463e-05,3.29463e-05,3.29463e-05
93,6598.18,0.742,0.5877,1.17545,0.79279,0.71881,0.76811,0.54923,1.0093,0.82172,1.4228,2.83875e-05,2.83875e-05,2.83875e-05
94,6659.17,0.74308,0.571,1.16425,0.81831,0.70124,0.76903,0.55308,1.00676,0.81517,1.42066,2.43545e-05,2.43545e-05,2.43545e-05
95,6720.27,0.74709,0.58763,1.1722,0.76791,0.72714,0.76824,0.55213,1.01187,0.81369,1.42237,2.0851e-05,2.0851e-05,2.0851e-05
96,6781.79,0.736,0.57566,1.16555,0.78271,0.72822,0.77006,0.55041,1.0091,0.80447,1.42851,1.78807e-05,1.78807e-05,1.78807e-05
97,6842.75,0.74411,0.57393,1.17267,0.77049,0.7369,0.77128,0.54795,1.01319,0.80667,1.4277,1.54465e-05,1.54465e-05,1.54465e-05
98,6903.66,0.73404,0.58549,1.15798,0.78653,0.73436,0.7759,0.55029,1.01711,0.79823,1.43307,1.35507e-05,1.35507e-05,1.35507e-05
