epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,372.193,1.39756,2.23753,1.71364,0.53831,0.2888,0.20878,0.08029,1.92477,3.57299,2.41704,0.0674473,0.000752703,0.000752703
2,725.159,1.39409,2.03318,1.71743,0.49225,0.51009,0.48186,0.27973,1.63662,2.13328,2.03757,0.0348176,0.00145634,0.00145634
3,1075.78,1.32039,1.89217,1.65467,0.49024,0.5796,0.56044,0.33345,1.43439,1.92939,1.86108,0.00213815,0.00211025,0.00211025
4,1420.12,1.25894,1.73839,1.60339,0.57031,0.58843,0.57768,0.34904,1.42804,1.67819,1.83883,0.00203626,0.00203626,0.00203626
5,1766,1.19466,1.62388,1.55537,0.64626,0.58712,0.62966,0.36624,1.45137,1.56816,1.91712,0.00196168,0.00196168,0.00196168
6,2112.32,1.16163,1.52448,1.51877,0.6796,0.66039,0.68997,0.45636,1.20472,1.32162,1.60402,0.0018871,0.0018871,0.0018871
7,2457.78,1.14291,1.46135,1.50166,0.69835,0.69189,0.73014,0.4792,1.17586,1.28636,1.56559,0.00181252,0.00181252,0.00181252
8,2802.27,1.10368,1.38158,1.46783,0.7296,0.66149,0.73599,0.49876,1.16158,1.2766,1.55604,0.00173794,0.00173794,0.00173794
9,3145.78,1.09757,1.36226,1.45974,0.70829,0.69078,0.73619,0.49,1.15455,1.23431,1.56623,0.00166336,0.00166336,0.00166336
10,3489.94,1.05167,1.29068,1.42752,0.70191,0.71506,0.75706,0.52984,1.087,1.10353,1.47969,0.00158878,0.00158878,0.00158878
11,3834.96,1.04553,1.2637,1.42301,0.75906,0.74626,0.78997,0.54262,1.08908,1.07876,1.49708,0.0015142,0.0015142,0.0015142
12,4180.15,1.03217,1.22587,1.41238,0.74671,0.75204,0.79926,0.56356,1.06295,1.02091,1.4583,0.00143962,0.00143962,0.00143962
13,4524.63,1.02003,1.20428,1.39564,0.79061,0.75391,0.80329,0.57363,1.04449,1.00451,1.42781,0.00136504,0.00136504,0.00136504
14,4868.55,1.00193,1.16496,1.38126,0.77468,0.76355,0.80839,0.57538,1.02976,0.96088,1.43574,0.00129046,0.00129046,0.00129046
15,5212.83,0.98345,1.13165,1.36828,0.79443,0.77315,0.8239,0.59536,0.97615,0.9435,1.3723,0.00121588,0.00121588,0.00121588
