epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,8542.07,0.79724,0.72793,1.19487,0.87991,0.85096,0.91164,0.70611,0.83115,0.61884,1.20931,0.00485566,0.00485566,0.00485566
43,8757.07,0.78666,0.70953,1.18732,0.87587,0.86019,0.91198,0.70334,0.84306,0.61354,1.22189,0.00466163,0.00466163,0.00466163
44,8959.68,0.78885,0.70555,1.19018,0.87113,0.86414,0.91333,0.7036,0.83754,0.61697,1.21342,0.00446819,0.00446819,0.00446819
45,9160.23,0.77965,0.69741,1.1837,0.88068,0.85437,0.913,0.70872,0.83379,0.61034,1.2121,0.00427565,0.00427565,0.00427565
46,9360.29,0.78536,0.69423,1.1849,0.88099,0.86826,0.91646,0.70349,0.84028,0.60968,1.2134,0.0040843,0.0040843,0.0040843
47,9561.11,0.77498,0.68949,1.18584,0.89298,0.86241,0.91794,0.71254,0.82914,0.60161,1.20641,0.00389445,0.00389445,0.00389445
48,9760.14,0.76556,0.68665,1.17918,0.86606,0.87263,0.91687,0.71473,0.8209,0.60063,1.19935,0.00370637,0.00370637,0.00370637
49,9960.53,0.75505,0.67456,1.16751,0.87543,0.87417,0.91684,0.71518,0.82283,0.6013,1.19968,0.00352037,0.00352037,0.00352037
50,10162.1,0.76038,0.67237,1.17361,0.87778,0.86999,0.91525,0.71551,0.8296,0.59251,1.2071,0.00333672,0.00333672,0.00333672
51,10361.2,0.75584,0.66435,1.1659,0.88539,0.86456,0.91752,0.71364,0.83015,0.58765,1.20857,0.00315572,0.00315572,0.00315572
52,10562.3,0.74302,0.66143,1.15985,0.87401,0.86384,0.91517,0.71304,0.82601,0.59099,1.20668,0.00297763,0.00297763,0.00297763
53,10757.6,0.73888,0.64835,1.15747,0.89759,0.85506,0.91618,0.7154,0.82038,0.58403,1.20252,0.00280275,0.00280275,0.00280275
54,10953.2,0.73887,0.65465,1.15987,0.87568,0.87679,0.91986,0.72038,0.81505,0.57135,1.20084,0.00263132,0.00263132,0.00263132
55,11150.5,0.73902,0.64825,1.15717,0.88459,0.87211,0.92135,0.72341,0.81039,0.56854,1.19371,0.00246363,0.00246363,0.00246363
56,11355.2,0.73475,0.64497,1.15709,0.88753,0.87124,0.9217,0.72122,0.81213,0.57113,1.1941,0.00229993,0.00229993,0.00229993
57,11557.6,0.72592,0.63294,1.15161,0.88381,0.88136,0.92477,0.72421,0.80664,0.56625,1.19248,0.00214046,0.00214046,0.00214046
58,11759,0.72289,0.63397,1.14943,0.88183,0.87778,0.92401,0.72225,0.80666,0.56916,1.19023,0.00198548,0.00198548,0.00198548
59,11961.2,0.72043,0.62736,1.14734,0.88977,0.87528,0.92339,0.72329,0.80927,0.56179,1.19421,0.00183523,0.00183523,0.00183523
60,12162,0.72289,0.62414,1.14542,0.89056,0.87696,0.92433,0.72458,0.80948,0.56357,1.19604,0.00168994,0.00168994,0.00168994
61,12361.7,0.71523,0.61905,1.14012,0.88964,0.87244,0.92344,0.72519,0.80966,0.56371,1.1959,0.00154982,0.00154982,0.00154982
62,12559.9,0.70446,0.60644,1.13806,0.88548,0.87767,0.92449,0.72677,0.80254,0.55999,1.1902,0.0014151,0.0014151,0.0014151
63,12757.8,0.70215,0.61275,1.13985,0.88089,0.88266,0.92276,0.72472,0.80295,0.56194,1.18994,0.00128599,0.00128599,0.00128599
64,12957.5,0.69964,0.60608,1.13316,0.88631,0.87899,0.92113,0.72382,0.80055,0.55927,1.18858,0.00116268,0.00116268,0.00116268
65,13160.9,0.7041,0.60106,1.13324,0.89312,0.87738,0.9218,0.72647,0.80128,0.55602,1.18882,0.00104537,0.00104537,0.00104537
66,13360.4,0.69661,0.59638,1.12918,0.89173,0.87863,0.9231,0.72968,0.7997,0.55524,1.18522,0.000934225,0.000934225,0.000934225
67,13559.4,0.69766,0.59617,1.13251,0.88656,0.88355,0.92423,0.73026,0.79585,0.55203,1.18224,0.000829431,0.000829431,0.000829431
68,13759.5,0.6899,0.59485,1.12729,0.89135,0.87691,0.92472,0.73106,0.79582,0.55192,1.18361,0.000731145,0.000731145,0.000731145
69,13959.2,0.68727,0.59229,1.1263,0.88104,0.88323,0.92567,0.73277,0.79716,0.54911,1.1848,0.000639518,0.000639518,0.000639518
